Property Ref,Account Holder 1,Account Holder 2,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Post Code,Liable From,RV,Description,Empty Y/N,Empty From,Discretionary Relief %,Mandatory Relief %,Small Business Rate Relief Y/N,Supporting Small Business Relief Y/N,Retail Hospitality and Leisure Relief Y/N
Ref:153592000400X7,AMAAN BOUTIQUE LTD,,,,3 THE WALK,ROCHDALE,LANCASHIRE,,OL16 1EP,01.10.2017,7500,SHOP AND PREMISES,N,,0,0,Y,N,N
Ref:15359200050072,VINESTEINS LIMITED,,,,7 THE WALK,ROCHDALE,LANCASHIRE,,OL16 1EP,01.03.2023,8700,SHOP AND PREMISES,N,,0,0,Y,N,N
Ref:15359292514258,HEADQUARTERS UNISEX BARBERS LTD,,,,9 THE WALK,ROCHDALE,,,OL16 1EP,01.06.2014,8800,SHOP AND PREMISES,N,,0,0,Y,N,N
Ref:15362000010083,ROYLE JEWELLERS LTD,T/A J & D ALEXANDER,,,2 THE WALK,ROCHDALE,LANCASHIRE,,OL16 1EP,13.06.2013,5000,SHOP AND PREMISES,N,,0,0,Y,N,N
Ref:15362000020061,ALEXANDRIA LIGHTHOUSE CIO,,,,4 THE WALK,ROCHDALE,,,OL16 1EP,01.03.2022,5000,SHOP AND PREMISES,N,,0,80,N,N,N
Ref:1536200003002A,NGUYEN HUA NAILS LTD,,,,8 THE WALK,ROCHDALE,LANCASHIRE,,OL16 1EP,15.09.2021,4850,SHOP AND PREMISES,N,,0,0,Y,N,N
Ref:15362000060044,HARFAR AND ELPIS LIMITED,,,,14 THE WALK,ROCHDALE,LANCASHIRE,,OL16 1EP,01.11.2019,4100,SHOP AND PREMISES,N,,0,0,Y,N,N
Ref:15371800010083,HOLDEN MOTORS (ROCHDALE) LTD,,WALKER ST FAB ENG (ROCHDALE)LTD,,WALKER STREET,ROCHDALE,,,OL16 2AB,06.01.2017,7000,WORKSHOP AND PREMISES,N,,0,0,Y,N,N
Ref:15371800100059,CENTRAL HYDRAULIC SERVICES LTD,,CENTRAL HYDRAULIC SERVICES LTD,,WALKER STREET,ROCHDALE,LANCASHIRE,,OL16 2AB,01.09.2007,8800,WORKSHOP AND PREMISES,N,,0,0,Y,N,N
Ref:15383X00010083,MITCHELLS & BUTLERS PLC,,BAMFORD TENNIS CLUB,,WAR OFFICE ROAD,ROCHDALE,LANCASHIRE,,OL11 5HX,24.07.2023,4050,TENNIS CLUB AND PREMISES,Y,24.07.2023,0,0,N,N,N
Ref:15383X00020051,L K N G INTERNATIONAL PRODUCTS &,SERVICES LTD,,,11 WAR OFFICE ROAD,ROCHDALE,LANCASHIRE,,OL11 5HR,18.10.2007,16000,SHOP AND PREMISES,N,,0,0,N,N,Y
Ref:15404100060048,MOTO GB LTD T/A ROBINSONS OF,ROCHDALE,,,ROBINSONS OF ROCHDALE,CENTRAL GARAGE,WATER STREET,ROCHDALE,OL16 1UH,07.05.2009,73000,MOTORBIKE SHOWROOM AND PREMISES,N,,0,0,N,N,Y
Ref:15404100060122,RJH MOTORBIKE TRAINING LTD,,,,CAR PARK ADJ TO CENTRAL GARAGE,WATER STREET,ROCHDALE,,OL16 1UH,01.09.2022,1050,CAR PARK AND PREMISES,N,,0,0,N,N,N
Ref:15404100100052,PREMIER AUTOMOTIVE LTD,,,,PREMIERE AUTOMOTIVE LTD,WATER STREET,ROCHDALE,,OL16 1TL,23.04.2007,33750,CAR SHOWROOM AND PREMISES,N,,0,0,N,N,N
Ref:1540410011002B,PREMIER AUTOMOTIVE LTD,,CARCRAFT OF ROCHDALE LTD,,WATER STREET,ROCHDALE,LANCASHIRE,,OL16 1TL,08.04.2009,6800,LAND USED FOR STORAGE AND PREMISES,N,,0,0,N,N,N
Ref:15404191858648,WATERSIDE RESIDENCE LTD,,,,WATERSIDE HOUSE,WATER STREET,ROCHDALE,,OL16 1TL,03.01.2019,0,PROPERTY CONVERTING TO DOMESTIC,Y,03.01.2019,0,0,N,N,N
Ref:15404191898694,N K LAW SOLICITORS LTD,,,,17 WATER STREET,ROCHDALE,LANCS,,OL16 1TL,01.05.2018,7100,OFFICES AND PREMISES,N,,0,0,Y,N,N
Ref:15404192867197,UMBRELLA INTERACTIVE LTD,,,,15 WATER STREET,ROCHDALE,LANCS,,OL16 1TL,03.09.2012,6300,OFFICES,N,,0,0,Y,N,N
Ref:15407600080092,MOTO GB LTD T/A ROBINSONS OF,ROCHDALE,,,ROBINSONS OF ROCHDALE,CENTRAL GARAGE,WATER STREET,ROCHDALE,OL16 1UH,07.05.2009,6500,LAND USED FOR CAR SALES,N,,0,0,N,N,N
Ref:15407690064031,WE BUY ANY CAR LTD,,,,WEBUYANYCAR CABIN,WATER STREET,ROCHDALE,,OL16 1UH,01.11.2021,12000,Kiosk and Premises,N,,0,0,N,N,N
Ref:15407690120315,CENTRAL NEWLINE LTD,,,,12 WATER STREET,ROCHDALE,,,OL16 1TL,20.12.2019,7900,OFFICES AND PREMISES,N,,0,0,Y,N,N
Ref:15407692188567,PREMIER AUTOMOTIVE LTD,,C C CAR CENTRE JUNC,,MOLESWORTH STREET WATER STREET,ROCHDALE,LANCASHIRE,,OL16 1TL,01.08.2023,19250,CAR PARK AND PREMISES,N,,0,0,N,N,N
Ref:1540769917753B,WILDSTONE OUTDOOR ADVERTISING,LTD,TOWN AND CITY POSTERS LTD,,WATER STREET,ROCHDALE,LANCASHIRE,,OL16 1TL,27.03.2023,5000,ADVERTISING STATION AND PREMISES,N,,0,0,N,N,N
Ref:15419800110027,27TH ROCHDALE LOWERPLACE SCOUTS,,,,27TH RDALE (LOWERPLACE) SCOUT GROUP,WATKIN STREET,ROCHDALE,LANCASHIRE,OL16 4HJ,01.04.2005,2375,CLUBROOM & PREMISES,N,,20,80,N,N,N
Ref:15422600010088,GR8 SPORTS LTD,,,,GND FLR TOWNHEAD SPRING WORKS,LOMAX STREET,ROCHDALE,LANCASHIRE,OL12 0HD,02.01.2018,14000,WAREHOUSE AND PREMISES,N,,0,0,Y,Y,N
Ref:15422600010089,IMPACT GYM (MANCHESTER) LTD,,,,1ST FLR TOWNHEAD SPRING WORKS,LOMAX STREET,ROCHDALE,LANCASHIRE,OL12 0HD,27.04.2018,9500,WAREHOUSE AND PREMISES,N,,0,0,Y,N,N
Ref:15422600020055,POLUTEF LTD,,POLUTEF LTD,,WATTS STREET,ROCHDALE,LANCASHIRE,,OL12 0HE,01.04.2005,11250,WORKSHOP AND PREMISES,N,,0,0,Y,N,N
Ref:15467994759219,ROCHDALE PETRUS COMM,,FLAT 1 (OFFICE) 20,,WELLFIELD STREET,ROCHDALE,LANCASHIRE,,OL11 1AW,31.08.2005,1100,OFFICE AND PREMISES,N,,20,80,N,N,N
Ref:15476500190004,ICELAND FROZEN FOODS PLC,,UNIT 19 KWIK SAVE COMPLEX,,WELL I'TH LANE,ROCHDALE,LANCASHIRE,,OL11 1BL,01.04.2005,31500,SHOP & PREMISES,N,,0,0,N,N,N
Ref:1547660002005A,SAMUEL SMITH OLD BREWERY,,HORSE AND JOCKEY,,1-3 WELL I'TH LANE,ROCHDALE,LANCASHIRE,,OL11 1AU,01.04.2005,3100,PUBLIC HOUSE AND PREMISES,N,,0,0,N,N,N
Ref:15476600400098,SAMUEL SMITH OLD BREWERY,,,,BRIDGE INN,CALF HEY SOUTH,ROCHDALE,,OL11 2JS,01.04.2005,5300,PUBLIC HOUSE AND PREMISES,N,,0,0,N,N,N
Ref:15507597594276,ROCHDALE MBC,,UNIT 3 DODGSON,STREET,IND ESTATE DODGSON STREET,ROCHDALE,LANCASHIRE,,OL16 5SJ,26.03.2012,4450,WAREHOUSE AND PREMISES,N,,0,0,N,N,N
Ref:15523012794191,SPACE TO HELP (NORTH) LTD,,UNIT 37,,THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JY,01.04.2023,14250,SHOP AND PREMISES,N,,0,0,N,N,N
Ref:15523042582211,SPACE TO HELP (NORTH,,(SU24),,UNIT 29 THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JZ,26.08.2022,13500,SHOP AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:15523047728347,SPACE TO HELP (NORTH),,UNIT 9,,THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JY,26.08.2022,13750,CAFE AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:15523090013011,SPACE TO HELP (NORTH),,,,LSU 6/7 UNIT 13 & 17,THE WHEATSHEAF CENTRE,ROCHDALE,,OL16 1JZ,26.08.2022,186000,SHOP AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:15523090013012,DHA CORPORATES LIMITED,,,,LSU 6-7 STORAGE,THE WHEATSHEAF CENTRE,ROCHDALE,,OL16 1JZ,24.08.2023,10000,STORE AND PREMISES,Y,24.08.2023,0,0,N,N,N
Ref:15523091361227,SPACE TO HELP (NORTH),,(K/A LSU8) UNITS 25 38 & 39,,THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JY,26.08.2022,33750,SHOP AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:15523096478213,SPACE TO HELP (NORTH),,,,UNIT 5/6,THE WHEATSHEAF CENTRE,ROCHDALE,,OL16 1JZ,16.08.2022,19250,SHOP AND PREMISES,Y,16.08.2022,0,0,N,N,N
Ref:15523097587624,SPACE TO HELP (NORTH),,,,BASEMENT AT UNIT 5/6,THE WHEATSHEAF CENTRE,ROCHDALE,,OL16 1JZ,26.08.2022,5000,STORAGE AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:15523099100100,SPACE TO HELP (NORTH),,,,SU40 WHEATSHEAF CENTRE,ROCHDALE,,,OL16 1JZ,26.08.2022,6200,SHOP AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:15523099100201,SPACE TO HELP (NORTH),,,,SU41 WHEATSHEAF CENTRE,ROCHDALE,,,OL16 1JZ,16.08.2022,8000,SHOP AND PREMISES,Y,16.08.2022,0,0,N,N,N
Ref:15523099149514,SPACE TO HELP (NORTH),,UNIT 18,,THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JY,26.08.2022,13750,SHOP AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:15523099149529,SPACE TO HELP (NORTH),,(SU8),,UNIT 8 THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JY,26.08.2022,14250,SHOP AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:15523099149548,SPACE TO HELP (NORTH),,UNIT 4,,THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JY,26.08.2022,10750,SHOP AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:15523099149552,SPACE TO HELP (NORTH),,UNIT 7,,THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JY,26.08.2022,8000,SHOP AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:15523099149942,SPACE TO HELP (NORTH),,UNIT 28,,THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JY,26.08.2022,27250,SHOP AND PREMISES,Y,26.08.2022,0,0,N,N,N
Ref:1552309915150A,SPACE TO HELP (NORTH),,UNIT 26,,THE WHEATSHEAF CENTRE,ROCHDALE,LANCASHIRE,,OL16 1JY,26.08.2022,6600,SHOP AND PREMISES,Y,26.08.2022,0,0,N,N,N
